condition,chosen_topic,n_conversations,mean_exchanges,mean_feedback,mean_user_words,mean_offtopic_markers
Condition A (Willi),Breakfast,188,8.319148936170214,4.027777777777778,53.430851063829785,0.0
Condition A (Willi),Watches,169,6.798816568047338,3.7884615384615383,54.68639053254438,0.011834319526627219
Condition A (Willi),Vacation,313,7.063897763578275,4.0,43.424920127795524,0.003194888178913738
Condition B (WV-34),Breakfast,134,8.462686567164178,4.021052631578947,68.61194029850746,0.0
Condition B (WV-34),Watches,110,7.045454545454546,3.8260869565217392,59.32727272727273,0.0
Condition B (WV-34),Vacation,186,7.634408602150538,3.888111888111888,53.715053763440864,0.010752688172043012
